lat,long,
47.26681,-52.7765, 
47.2668,-52.77651, 
47.26679,-52.77653, 
47.26678,-52.77655, 
47.26677,-52.77656, 
47.26676,-52.77658, 
47.26676,-52.77658, 
47.26675,-52.7766, 
47.26674,-52.77661, 
47.26673,-52.77662, 
47.26672,-52.77663, 
47.26672,-52.77664, 
47.26671,-52.77664, 
47.2667,-52.77664, 
47.2667,-52.77663, 
47.26669,-52.77663, 
47.26668,-52.77664, 
47.26667,-52.77664, 
47.26666,-52.77666, 
47.26665,-52.77667, 
47.26664,-52.77668, 
47.26663,-52.77668, 
47.26662,-52.77668, 
47.26661,-52.77667, 
47.26661,-52.77667, 
47.2666,-52.77666, 
47.2666,-52.77665, 
47.26659,-52.77664, 
47.26659,-52.77665, 
47.26658,-52.77667, 
47.26658,-52.77667, 
47.26658,-52.77668, 
47.26658,-52.7767, 
47.26658,-52.7767, 
47.26659,-52.77671, 
47.26658,-52.77672, 
47.26658,-52.77673, 
47.26656,-52.77674, 
47.26655,-52.77675, 
47.26654,-52.77676, 
47.26653,-52.77677, 
47.26652,-52.77678, 
47.26651,-52.77679, 
47.2665,-52.77679, 
47.26649,-52.77679, 
47.26649,-52.7768, 
47.26647,-52.7768, 
47.26646,-52.7768, 
47.26646,-52.7768, 
47.26645,-52.7768, 
47.26644,-52.7768, 
47.26644,-52.7768, 
47.26643,-52.77681, 
47.26642,-52.77682, 
47.26641,-52.77683, 
47.2664,-52.77684, 
47.26638,-52.77685, 
47.26637,-52.77686, 
47.26636,-52.77687, 
47.26635,-52.77689, 
47.26635,-52.7769, 
47.26634,-52.77691, 
47.26633,-52.77692, 
47.26633,-52.77693, 
47.26632,-52.77694, 
47.26632,-52.77696, 
47.26631,-52.77697, 
47.2663,-52.77698, 
47.2663,-52.77699, 
47.26629,-52.77699, 
47.26628,-52.777, 
47.26628,-52.777, 
47.26626,-52.777, 
47.26624,-52.77701, 
47.26624,-52.77701, 
47.26623,-52.77701, 
47.26622,-52.77701, 
47.26621,-52.77701, 
47.26621,-52.77701, 
47.2662,-52.777, 
47.26619,-52.77699, 
47.26618,-52.77699, 
47.26617,-52.77698, 
47.26617,-52.77699, 
47.26615,-52.77698, 
47.26614,-52.77698, 
47.26613,-52.77699, 
47.26611,-52.777, 
47.26609,-52.77702, 
47.26608,-52.77703, 
47.26606,-52.77703, 
47.26605,-52.77705, 
47.26604,-52.77705, 
47.26603,-52.77706, 
47.26602,-52.77706, 
47.26601,-52.77707, 
47.26599,-52.77709, 
47.26599,-52.7771, 
47.26598,-52.7771, 
47.26597,-52.77711, 
47.26596,-52.77712, 
47.26594,-52.77712, 
47.26593,-52.77713, 
47.26593,-52.77713, 
47.26592,-52.77714, 
47.26591,-52.77715, 
47.2659,-52.77715, 
47.26589,-52.77716, 
47.26587,-52.77716, 
47.26586,-52.77717, 
47.26585,-52.77717, 
47.26584,-52.77717, 
47.26583,-52.77717, 
47.26582,-52.77718, 
47.26582,-52.77718, 
47.26581,-52.77719, 
47.26579,-52.7772, 
47.26578,-52.77721, 
47.26577,-52.7772, 
47.26576,-52.77721, 
47.26575,-52.77721, 
47.26574,-52.77722, 
47.26573,-52.77723, 
47.26572,-52.77723, 
47.26571,-52.77723, 
47.2657,-52.77722, 
47.2657,-52.77722, 
47.26569,-52.77722, 
47.26568,-52.77723, 
47.26567,-52.77723, 
47.26566,-52.77722, 
