BurrowID,BandNo,DateTime,Year,Plot,Count,Fledged
P78,3061-01106,2022-11-04 19:07,2022,1,142,yes
P47,7901-12180,2017-10-18 19:31,2017,4,72,yes
P48,7901-12182,2017-10-18 19:30,2017,4,139,yes
P92,2461-13196,2018-09-24 20:30,2018,4,19,yes
P94,2461-13191,2018-10-14 19:24,2018,4,120,yes
P94,3061-01111,2022-10-21 20:09,2022,4,191,yes
P2,7901-12147,2017-09-30 20:47,2017,1,19,yes
P4,7901-12148,2017-10-09 0:23,2017,1,38,yes
P5,7901-12149,2017-10-11 20:01,2017,1,132,yes
P8,7901-12150,2017-09-29 19:50,2017,1,122,yes
P6,7901-12151,2017-10-19 19:20,2017,1,43,yes
P10,7901-12152,2017-10-16 19:38,2017,1,94,yes
P9,7901-12153,2017-10-08 20:51,2017,1,196,yes
P11,7901-12154,2017-10-07 0:19,2017,1,142,yes
P74,7901-12157,2017-10-15 21:05,2017,2,105,yes
P29,7901-12158,2017-09-28 19:43,2017,2,80,yes
P23,7901-12160,2017-09-30 22:05,2017,2,191,yes
P30,7901-12161,2017-10-10 20:37,2017,2,70,yes
P21,7901-12162,2017-10-19 21:54,2017,2,98,yes
P18,7901-12163,2017-10-20 20:27,2017,2,78,yes
P16,7901-12164,2017-10-18 20:23,2017,2,34,yes
P75,7901-12165,2017-10-13 19:24,2017,5,200,yes
P61,7901-12166,2017-10-03 19:20,2017,5,72,yes
P67,7901-12167,2017-10-10 20:00,2017,5,102,yes
P55,7901-12169,2017-10-29 5:30,2017,5,27,yes
P50,7901-12171,2017-10-01 19:28,2017,5,81,yes
P52,7901-12173,2017-10-04 20:00,2017,5,120,yes
P62,7901-12174,2017-10-11 19:17,2017,5,141,yes
P99,2461-19982,2022-11-13 23:28,2022,6,55,yes
P39,7901-12177,2017-09-28 19:36,2017,3,89,yes
P31,7901-12178,2017-09-19 20:01,2017,3,88,yes
P36,7901-12179,2017-10-11 19:47,2017,3,47,yes
P95,2461-13192,2018-10-03 3:57,2018,4,100,yes
P95,2461-13341,2021-09-28 20:20,2021,4,28,yes
P95,3061-01110,2022-10-07 21:34,2022,4,135,yes
P96,2461-13194,2018-10-06 20:08,2018,4,101,yes
P119,,,2022,4,,no
P121,,,2022,4,,yes
P122,,,2022,4,,no
P123,,,2022,4,,no
P124,,,2022,4,,no
P125,,,2022,4,,no?
P126,,,2022,4,,no?
P127,,,2022,4,,no
P128,,,2022,4,,yes
P129,,,2022,4,,yes
P130,,,2022,4,,yes
P131,,,2022,4,,no
P101,,,2022,6,,yes
P109,,,2022,6,,yes
P110,,,2022,6,,yes
P111,,,2022,6,,yes
P112,,,2022,6,,no
P113,,,2022,6,,yes
P114,,,2022,6,,no?
P115,,,2022,6,,yes
P116,,,2022,6,,no?
P117,,,2022,6,,yes
P118,,,2022,6,,no
