lat,long,
47.26053,-52.77083, 
47.26051,-52.77084, 
47.2605,-52.77083, 
47.26048,-52.77083, 
47.26047,-52.77082, 
47.26046,-52.77082, 
47.26045,-52.7708, 
47.26044,-52.7708, 
47.26043,-52.77078, 
47.26042,-52.77076, 
47.26041,-52.77074, 
47.26041,-52.77073, 
47.26041,-52.7707, 
47.26041,-52.77068, 
47.26042,-52.77066, 
47.26042,-52.77063, 
47.26042,-52.77061, 
47.26044,-52.77058, 
47.26044,-52.77057, 
47.26045,-52.77055, 
47.26046,-52.77053, 
47.26047,-52.77051, 
47.26047,-52.77048, 
47.26048,-52.77046, 
47.26047,-52.77043, 
47.26046,-52.77041, 
47.26045,-52.7704, 
47.26043,-52.7704, 
47.26042,-52.77039, 
47.26041,-52.7704, 
47.2604,-52.77041, 
47.26038,-52.77043, 
47.26037,-52.77043, 
47.26036,-52.77044, 
47.26035,-52.77045, 
47.26034,-52.77045, 
47.26032,-52.77046, 
47.26031,-52.77046, 
47.2603,-52.77046, 
47.26029,-52.77047, 
47.26027,-52.77048, 
47.26027,-52.77048, 
47.26025,-52.77049, 
47.26024,-52.77049, 
47.26023,-52.77049, 
47.26021,-52.77049, 
47.2602,-52.77049, 
47.26019,-52.7705, 
47.26017,-52.77051, 
47.26016,-52.77051, 
47.26014,-52.77052, 
47.26013,-52.77052, 
47.26012,-52.77051, 
47.2601,-52.77051, 
47.26008,-52.77051, 
47.26007,-52.77051, 
47.26006,-52.7705, 
47.26005,-52.77051, 
47.26003,-52.77051, 
47.26002,-52.77052, 
47.26,-52.77052, 
47.25999,-52.77053, 
47.25998,-52.77052, 
47.25996,-52.77052, 
47.25995,-52.77052, 
47.25993,-52.77051, 
47.25993,-52.77051, 
47.2599,-52.7705, 
47.25989,-52.7705, 
47.25988,-52.7705, 
47.25986,-52.7705, 
47.25985,-52.7705, 
47.25984,-52.77051, 
47.25982,-52.77051, 
47.25981,-52.77051, 
47.25979,-52.77051, 
47.25978,-52.77051, 
47.25976,-52.77051, 
47.25975,-52.77051, 
47.25974,-52.77052, 
47.25972,-52.77052, 
47.25971,-52.77052, 
47.2597,-52.77052, 
47.25969,-52.77053, 
47.25966,-52.77054, 
47.25966,-52.77054, 
47.25963,-52.77053, 
47.25962,-52.77053, 
47.25961,-52.77053, 
47.25959,-52.77053, 
47.25959,-52.77053, 
47.25956,-52.77053, 
47.25955,-52.77054, 
47.25954,-52.77054, 
47.25952,-52.77055, 
47.25951,-52.77056, 
47.25949,-52.77056, 
47.25948,-52.77057, 
47.25947,-52.77057, 
47.25945,-52.77058, 
47.25943,-52.77059, 
47.25942,-52.7706, 
47.25941,-52.7706, 
47.25939,-52.7706, 
47.25938,-52.7706, 
47.25936,-52.77061, 
47.25935,-52.77061, 
47.25933,-52.77061, 
47.25932,-52.77062, 
47.2593,-52.77062, 
47.25929,-52.77062, 
47.25928,-52.77063, 
47.25926,-52.77062, 
47.25925,-52.77064, 
47.25924,-52.77064, 
47.25922,-52.77065, 
47.25921,-52.77066, 
47.25919,-52.77066, 
47.25918,-52.77067, 
47.25917,-52.77068, 
47.25916,-52.77069, 
47.25914,-52.7707, 
47.25913,-52.7707, 
47.25912,-52.77071, 
47.25911,-52.77073, 
47.2591,-52.77074, 
47.25909,-52.77075, 
47.25907,-52.77077, 
47.25906,-52.77077, 
47.25905,-52.77079, 
47.25904,-52.7708, 
47.25903,-52.77081, 
47.25903,-52.77083, 
47.25902,-52.77085, 
47.25901,-52.77087, 
47.259,-52.77089, 
47.25899,-52.77091, 
47.25899,-52.77093, 
47.25898,-52.77097, 
47.25898,-52.77099, 
47.25898,-52.77102, 
47.25897,-52.77104, 
47.25898,-52.77106, 
47.25898,-52.77108, 
47.25898,-52.7711, 
47.25898,-52.77112, 
47.25898,-52.77116, 
47.25899,-52.77118, 
47.25899,-52.7712, 
47.25899,-52.77121, 
47.25899,-52.77124, 
47.259,-52.77127, 
47.25899,-52.77129, 
47.259,-52.77133, 
47.259,-52.77136, 
47.259,-52.77137, 
47.25901,-52.7714, 
47.25902,-52.77142, 
47.25903,-52.77144, 
47.25904,-52.77145, 
47.25904,-52.77146, 
47.25905,-52.77149, 
47.25907,-52.7715, 
47.25908,-52.77152, 
47.25908,-52.77153, 
47.25909,-52.77156, 
47.2591,-52.77157, 
47.25911,-52.77158, 
47.25913,-52.77159, 
47.25913,-52.77159, 
47.25915,-52.7716, 
47.25917,-52.77161, 
47.25919,-52.77162, 
47.2592,-52.77162, 
47.25921,-52.77163, 
47.25923,-52.77164, 
47.25925,-52.77165, 
47.25926,-52.77165, 
47.25927,-52.77165, 
47.25928,-52.77166, 
47.2593,-52.77166, 
47.25931,-52.77166, 
47.25933,-52.77166, 
47.25934,-52.77166, 
47.25936,-52.77165, 
47.25937,-52.77165, 
47.25939,-52.77166, 
47.25939,-52.77167, 
47.25939,-52.77169, 
47.25938,-52.77171, 
47.25937,-52.77173, 
47.25936,-52.77175, 
47.25936,-52.77176, 
47.25935,-52.77179, 
47.25935,-52.77182, 
47.25935,-52.77184, 
47.25934,-52.77187, 
47.25935,-52.77188, 
47.25934,-52.77188, 
47.25935,-52.77189, 
47.25936,-52.7719, 
47.25937,-52.7719, 
47.25939,-52.77191, 
47.2594,-52.77191, 
47.25942,-52.77192, 
47.25944,-52.77192, 
47.25945,-52.77192, 
47.25947,-52.77192, 
47.25948,-52.77192, 
47.25949,-52.77191, 
47.2595,-52.7719, 
47.25951,-52.77189, 
47.25952,-52.77187, 
47.25953,-52.77186, 
47.25953,-52.77184, 
47.25955,-52.77183, 
47.25955,-52.77182, 
47.25957,-52.77181, 
47.25958,-52.77181, 
47.2596,-52.77181, 
47.25961,-52.77182, 
47.25963,-52.77182, 
47.25964,-52.77182, 
47.25965,-52.77183, 
47.25966,-52.77184, 
47.25967,-52.77184, 
47.25969,-52.77184, 
47.2597,-52.77185, 
47.25971,-52.77187, 
47.25972,-52.77187, 
47.25973,-52.77188, 
47.25974,-52.77189, 
47.25976,-52.77191, 
47.25977,-52.77191, 
47.25979,-52.77192, 
47.2598,-52.77193, 
47.25981,-52.77193, 
47.25982,-52.77193, 
47.25984,-52.77192, 
47.25985,-52.77191, 
47.25986,-52.7719, 
47.25987,-52.77189, 
47.25988,-52.77189, 
47.25989,-52.77187, 
47.25991,-52.77185, 
47.25992,-52.77184, 
47.25993,-52.77183, 
47.25994,-52.77182, 
47.25995,-52.77181, 
47.25996,-52.7718, 
47.25997,-52.7718, 
47.25999,-52.77179, 
47.26,-52.77179, 
47.26001,-52.77178, 
47.26002,-52.77178, 
47.26003,-52.7718, 
47.26003,-52.77182, 
47.26002,-52.77183, 
47.26,-52.77184, 
47.26,-52.77185, 
47.25999,-52.77186, 
47.25999,-52.77188, 
47.26,-52.77189, 
47.26,-52.77189, 
47.26002,-52.77191, 
47.26003,-52.77192, 
47.26004,-52.77192, 
47.26006,-52.77192, 
47.26007,-52.77191, 
47.26009,-52.77191, 
47.2601,-52.77191, 
47.26012,-52.77192, 
47.26013,-52.77192, 
47.26013,-52.77192, 
47.26014,-52.77193, 
47.26016,-52.77193, 
47.26017,-52.77192, 
47.26019,-52.77191, 
47.26019,-52.77189, 
47.2602,-52.77187, 
47.26021,-52.77187, 
47.26022,-52.77186, 
47.26023,-52.77185, 
47.26024,-52.77185, 
47.26025,-52.77187, 
47.26025,-52.77189, 
47.26025,-52.77191, 
47.26023,-52.77192, 
47.26022,-52.77193, 
47.2602,-52.77194, 
47.26019,-52.77195, 
47.26018,-52.77196, 
47.26016,-52.77197, 
47.26016,-52.77198, 
47.26014,-52.77198, 
47.26013,-52.77198, 
47.26012,-52.77199, 
47.26011,-52.77199, 
47.26009,-52.77199, 
47.26008,-52.77199, 
47.26007,-52.77199, 
47.26005,-52.772, 
47.26004,-52.77201, 
47.26002,-52.77201, 
47.26001,-52.77202, 
47.26,-52.77202, 
47.25998,-52.77203, 
47.25997,-52.77203, 
47.25996,-52.77204, 
47.25995,-52.77204, 
47.25993,-52.77204, 
47.25992,-52.77204, 
47.25991,-52.77204, 
47.25989,-52.77204, 
47.25988,-52.77203, 
47.25986,-52.77203, 
47.25985,-52.77203, 
47.25983,-52.77203, 
47.25982,-52.77202, 
47.25981,-52.77202, 
47.2598,-52.772, 
47.25979,-52.77199, 
47.25978,-52.77198, 
47.25977,-52.77197, 
47.25976,-52.77196, 
47.25975,-52.77195, 
47.25974,-52.77195, 
47.25973,-52.77193, 
47.25972,-52.77192, 
47.25971,-52.77191, 
47.2597,-52.7719, 
47.25968,-52.77188, 
47.25967,-52.77187, 
47.25966,-52.77186, 
47.25965,-52.77186, 
47.25964,-52.77185, 
47.25962,-52.77185, 
47.25962,-52.77185, 
47.2596,-52.77187, 
47.25959,-52.77189, 
47.25958,-52.77191, 
47.25958,-52.77193, 
47.25957,-52.77194, 
47.25958,-52.77197, 
47.25958,-52.77198, 
47.25956,-52.77198, 
47.25955,-52.77197, 
47.25954,-52.77195, 
47.25953,-52.77193, 
47.25952,-52.77191, 
47.2595,-52.77191, 
47.25949,-52.77191, 
47.25947,-52.77191, 
47.25946,-52.77192, 
47.25945,-52.77192, 
47.25943,-52.77193, 
47.25942,-52.77193, 
47.2594,-52.77193, 
47.25939,-52.77193, 
47.25938,-52.77193, 
47.25937,-52.77195, 
47.25936,-52.77197, 
47.25935,-52.77199, 
47.25935,-52.77201, 
47.25934,-52.77202, 
47.25933,-52.77205, 
47.25933,-52.77207, 
47.25933,-52.77209, 
47.25933,-52.77212, 
